id,sentence,verb,xcomp,level,sub
40502,"Erinevalt euroopa keeltest, milles sõnumid kipuvad pikaks minema, on jaapani keeles kasutatavate märkidega lihtne teateid saata.",kippuma,minema,kl9,", milles kipuvad minema ,"
40522,Kõik inimesed saavad ilma mobiiltelefonita hakkama.,saama,hakkama,kl9,inimesed saavad mobiiltelefonita hakkama .
40527,Jaapanlased kipuvad kirjutama pikki sõnumeid.,kippuma,kirjutama,kl9,Jaapanlased kipuvad kirjutama .
40624,"Sellest jätkub vaevalt nädalaks - edasi katsun ilma hakkama saada, häda korral laenan sõpradelt.",saama,hakkama,kl9,ilma hakkama saada laenan
40626,"Enamasti õnnestub välja tulla, mõnikord kipub kuu lõpus raha nappima.",kippuma,nappima,kl9,", mõnikord kipub lõpus nappima"
40660,"Põhimõtteliselt mitte, igaüks peab oma rahaasjadega ise hakkama saama.",saama,hakkama,kl9,"mitte , igaüks peab rahaasjadega ise hakkama saama ."
40722,Praegu on Patul jalg küll veidi vigastatud - ta õppis üht uut figuuri ilma matte ja kaitsmeid kasutamata.,õppima,kasutama,kl9,- ta õppis kasutamata
41868,Aga kuidas sa üldse sattusid rahvatantsuga tegelema?,sattuma,tegelema,kl9,Aga kuidas sa üldse sattusid tegelema ?
41909,"Ma ei ole kindel, kas ma saan hakkama.",saama,hakkama,kl9,", kas ma saan hakkama"
42005,"Raskel juhul võib ta kaotada teadvuse, kuid kergemal juhul hakkab ta pea ringi käima, silme ees virvendab ja nagu eestlastel on selline väljend, et kipub pilt silme eest kaduma.",kippuma,kaduma,kl9,", et kipub kaduma"
42012,"No pikali on sellisel juhul tark olla, kui on tal pearinglus ja ja vereringehäired, aga sellisel juhul, kui kuumarabandusega inimene kipub iiveldama ja isegi oksendama, siis sellisel juhul on tark olla siis küliliasendis.",kippuma,iiveldama,kl9,", kui inimene kipub iiveldama"
42206,"Kui sa koolis hakkama ei saa, mine kohe prükkariks.",saama,hakkama,kl9,"Kui sa koolis hakkama ei saa ,"
