id,sentence,verb,xcomp,level,sub
18131,"Kujuta ette, hambaarst ei lubanud mul mitu tundi midagi süüa, aga kõht on nii tühi!",lubama,sööma,kl7,", hambaarst ei lubanud mul süüa"
18156,"Mäletad, kui ükskord püüdsin odraiva välja pigistada ja ühe punni asemel tekkis neid kolm.",püüdma,pigistama,kl7,", kui ükskord püüdsin pigistada tekkis"
18162,"Kui märkad, et oled hakanud silmi kissitama, tahad telerit liiga lähedalt vaadata, lased lugemisel ja kirjutamisel pea liiga madalale laua kohale - tuleks kohe arsti poole pöörduda.",tahtma,vaatama,kl7,tahad vaadata
18173,"Meie klassis on mitu last, kellele on silmaarst prillid välja kirjutanud, aga nad ei taha neid koolis ette panna.",tahtma,panema,kl7,", aga nad ei taha panna"
18180,"Nooremates klassides kindlasti mitte, siis ei oska nad kontaktläätsede eest korralikult hoolitseda.",oskama,hoolitsema,kl7,"klassides , siis ei oska nad hoolitseda ."
18197,"Miks mõni laps tahaks prille kanda isegi siis, kui ta nägemine on korras?",tahtma,kandma,kl7,Miks laps tahaks kanda siis korras ?
18198,"Miks mõni laps ei taha prille kanda isegi siis, kui silmaarst on talle need välja kirjutanud?",tahtma,kandma,kl7,Miks laps ei taha kanda siis kirjutanud ?
18271,Kardavad paksuks minna.,kartma,minema,kl7,Kardavad minna .
18297,Sellisest pakkumisest ei taha ma midagi kuulda.,tahtma,kuulma,kl7,pakkumisest ei taha ma kuulda .
18300,Ma ei soovi sinuga (teiega) tegemist teha.,soovima,tegema,kl7,Ma ei soovi teha .
18342,"Silmaarst kirjutas sinu klassiõele (klassivennale) välja prillid, aga ta ei taha neid kanda.",tahtma,kandma,kl7,", aga ta ei taha kanda"
18364,Tahan ilus välja näha.,tahtma,nägema,kl7,Tahan näha .
18392,Tahad ka sellest osa võtta?,tahtma,võtma,kl7,Tahad ka võtta ?
18409,"Ja tegelikult on laulupeotraditsiooni säilimine väga-väga tähtis isegi neile inimestele, kes kunagi pole viitsinud lauluväljakule minna.",viitsima,minema,kl7,", kes kunagi pole viitsinud minna"
18410,"Vaevalt et luuletaja Lydia Koidula oskas aimatagi, et tema isamaalisi luuleridu laulavad peaaegu 140 aastat hiljem lapsed, keda bussid-rongid kahe-kolme tunniga igast Eestimaa nurgast pealinna kokku toovad.",oskama,aimama,kl7,Vaevalt luuletaja oskas aimatagi .
18451,Jõuan vahepeal jäätise ära süüa.,jõudma,sööma,kl7,Jõuan vahepeal süüa .
18488,"Aga kui sa teada tahad, siis õpib Jaanus viiendas klassis.",tahtma,teadma,kl7,"Aga kui sa teada tahad ,"
18494,Ja kui palju te loodate piletite eest raha saada?,lootma,saama,kl7,Ja palju te loodate saada ?
18501,Millisest heateost sa tahaksid rääkida?,tahtma,rääkima,kl7,sa tahaksid rääkida ?
18525,"Kui puu otsa üles oskas ronida, küllap oskab siis ka alla ronida.",oskama,ronima,kl7,"Kui puu oskas ronida ,"
18525,"Kui puu otsa üles oskas ronida, küllap oskab siis ka alla ronida.",oskama,ronima,kl7,oskas küllap oskab siis ronida .
18528,Nüüd kardab alla ronida.,kartma,ronima,kl7,Nüüd kardab ronida .
18533,"Sa tahad teada, miks sõbral on halb tuju.",tahtma,teadma,kl7,Sa tahad teada .
18535,Sa püüad sõpra lohutada.,püüdma,lohutama,kl7,Sa püüad lohutada .
18539,Sa ei suuda seda ükskõikselt pealt vaadata.,suutma,vaatama,kl7,Sa ei suuda vaadata .
18540,"Algklasside laps ei julge koolimajast välja minna, sest koolimaja ees mängivad poisid lumesõda.",julgema,minema,kl7,laps ei julge minna mängivad .
18542,Sa lubad last aidata.,lubama,aitama,kl7,Sa lubad aidata .
18557,Mida tahab autor lugejatele öelda?,tahtma,ütlema,kl7,tahab autor öelda ?
18635,Mati on lõbus ja oskab teiste tuju üleval hoida.,oskama,hoidma,kl7,ja oskab hoida
18637,Nii Mati kui ka Tiina oskasid lugeda veel enne kooliminekut.,oskama,lugema,kl7,Mati oskasid lugeda .
18659,Halli peaga paadimees aerutab aga siiani järvel ja igatseb näha neid imeilusaid silmi.,igatsema,nägema,kl7,ja igatseb näha
18666,Pean oskama loomade nimetusi kirjutada.,oskama,kirjutama,kl7,Pean oskama kirjutada .
18690,Püüa õpitud sõnu kohe ka kõnes kasutada.,püüdma,kasutama,kl7,Püüa kasutada .
18696,"Esita klassikaaslasele 7 küsimust, et teada saada, missugune õpik talle meeldib ja missugune mitte eriti.",saama,teadma,kl7,", et teada saada meeldib"
18706,"Ja pealegi, võib-olla tahan ma politseinikuks õppida?",tahtma,õppima,kl7,"Ja pealegi , võib-olla tahan ma õppida ?"
18719,Siis otsustasin selle lõkkes ka ära põletada.,otsustama,põletama,kl7,Siis otsustasin põletada .
18721,Tõin tiigist vett ja püüdsin tuld ise kustutada.,püüdma,kustutama,kl7,ja püüdsin kustutada
18727,Autojuht ei pruugi sind märgata ja võib sulle otsa sõita.,pruukima,märkama,kl7,Autojuht ei pruugi märgata sõita .
18738,"Esita klassikaaslasele vähemalt 5 küsimust, et teada saada, kas ta jalgratturina on hea liikleja.",saama,teadma,kl7,", et teada saada liikleja"
18747,"Inimene, kes armastab tei-si taga rääkida, on vist ninatark.",armastama,rääkima,kl7,", kes armastab rääkida ,"
18756,"Inimene, kes armastab teisi taga rääkida, on keelepeksja.",armastama,rääkima,kl7,", kes armastab rääkida ,"
18777,Perekond Jõekäär on otsustanud sõita suvel automatkale Norrasse.,otsustama,sõitma,kl7,Perekond on otsustanud sõita .
18806,Püüan ka ise selline olla.,püüdma,olema,kl7,Püüan selline olla .
