verb	compound	total
be		1
have		1
been		1
arvama	kaasa	4
õhkama		2
tekkima	juurde	14
taluma		14
pidurdama		4
käima	kokku	1
lisama	juurde	4
sallitama		3
hoidma	ära	9
tunma		1
ettekujutama		8
sirvima		6
halvenema		15
kurtma		7
jäetama		1
piirama		18
viibima	koos	1
väljastama		3
soetama		4
jõudnma		1
jääma	rahule	139
kampama		1
võitlema		51
solvama		28
poetama		2
kustuma		2
piisama		78
nihverdama		1
minema	tarvis	1
vaatama	ringi	3
helisema		4
utsitama	tagant	2
siluma		1
käima	juurde	1
lummama		4
kogema		22
kuulav		1
käsitlema		15
improviseerima		2
muljetama		4
panema	lukku	1
asetama		3
peoma		1
sama		2
jäema		5
närvima		3
tegema	juurde	3
mõetlema		1
pakk-uma		1
maalima		5
laadima	alla	4
välistama		3
loopima	kaasa	1
lobisema		10
ülbitsema	vastu	1
astuma	ülesse	1
kuulama	kõrvale	1
informeerima		18
olema	kohal	7
täituma		8
viitma		7
kuritarvitama	ära	1
tegema	ümber	7
jääma	välja	2
viima	tagasi	5
näitama	välja	6
silmama		2
kogen		1
hoolitsema		70
tegeletama		1
jääma	alla	6
summutama		1
kohastuma		2
näitama	üles	1
laiselema		1
kuluma		37
väärtustama		106
viljelema		3
pelgama		2
tasuma	ära	2
minema	heaks	1
lenneldama		1
kaevuma		1
veedama		21
sulema		3
lausuma		2
arvama	välja	7
välja_kujunenud		1
kasutama	ära	26
paljastama		1
hoolitama		2
viibutama	kaasa	1
hoidma	tagasi	2
tikkuma		1
laulma	koos	2
igavlema		1
kõlama	kokku	1
jahtima		1
rändama	kaasas	1
olgugi		2
sattuma	kokku	2
loendama		6
kohustusema		1
piinama		2
loema		11
laadima		8
tundma	kaasa	2
sõitma	ilma	1
märka_ksime		1
ajendama		5
make		1
