verb	compound	total
kuulma	kõrvalt	3
sisistama		93
tarduma		241
irrutama		8
lavastama		317
jätma	maha	509
ohverdama		182
andma	järele	209
harjuma		999
filmima		139
panema	ülle	1
seiklema		59
laulma		1635
puhuma		523
hüüatama		316
kogelema		100
naeratama		1653
harutama	lahti	58
mossitama	edasi	3
kõditama		55
jutustama		945
paiskama		249
silitama		353
maitsema		148
astuma	välja	390
sõbrunema		21
apelleerima		33
mässima		101
olema	ära	272
võtma	ära	839
hääletama		509
tiražeerima		5
võtma	välja	452
projitseerima	kohale	1
arvutama	välja	90
vestlema		487
läitma		72
lausuma		2617
kustuma		401
kasutama	alla	8
pikendama		340
segama		1238
röövima		412
kohtuma		1719
tulema	juurde	211
korduma		355
korjama	üles	121
saama	pärast	6
olema	järele	6
lükkama	ümber	191
sobitama	kokku	31
eristuma		286
loetlema		333
mobiliseerima		57
olema	välja	24
teisenema		69
tõstma	esile	432
konstateerima		90
esitama	läbi	2
finantseerima	kokku	1
skaleeruma		7
vussima	ära	4
seiskama		46
pööritama		53
seletama	lahti	51
tegema	järele	66
kontrollima	järele	7
sulguma		166
petma	välja	23
pidama	vastu	558
intrigeerima		25
pooldama		350
ostma	juurde	37
heitma	ette	408
tühjenema		38
hoolima		555
ühenduma		14
viima	tagasi	103
turvama		64
dekrüptima		3
heitma	kõrvale	66
maskeeruma		23
laskma	välja	177
prioritiseerima		2
peetama		62
interneti-ühenduma		1
kukkuma	läbi	103
lükkuma	edasi	52
veenma		404
palkama		286
simuleerima		35
jääma	ära	274
vahetama	ära	82
juurduma		237
murdma	välja	27
kaduma	ära	274
arvama	ära	130
mõistatama		90
klaarima		58
arutama	läbi	60
sõitma	edasi	114
pöörama	püsti	1
saama	läbi	447
valetama		752
õppima	juurde	31
hoidma	käigus	1
johtuma		66
lööma	läbi	116
premeerima		46
sõnastama	ümber	9
jäljendama		167
maalima		408
hajuma		185
peetuma	välja	3
keerlema		242
jõudma	kokku	5
haakuma		162
mõtlema	järele	275
kärpima		178
hoidma	kinni	690
kasutama	eest	1
kinkima		811
rulluma	lahti	15
veenma	ümber	25
käsutama		242
kargama		259
koputama		411
põlema	maha	63
kulutama	ära	34
veerema		260
vedama	kokku	23
põimima		88
rööpnema		1
markeerima		93
imema	sisse	4
kätkema		117
aktualiseeruma		19
kõikuma		409
hääbuma		93
kuuluma	kokku	52
vaikima		1280
karakteriseerima		13
domineerima	üle	2
kinnistuma		122
kobama		152
sinatama		26
aeglustama		100
nõrgenema		101
suhestuma		46
imiteerima		82
dialogiseeruma		2
lõtvuma		50
kõnelema	mööda	1
pudenema		208
naitma		5
raiuma		270
ütlema	kõrvale, välja	1
kallutama		148
vormima		127
käibima		41
kandma	ette	187
segunema		193
monologiseeruma		1
piltlikustama		6
valgustama		403
uluma	koos	1
rääkima	mööda	8
andestama		241
nuhkima		33
suunama	välja	7
kõnetama		140
vaidlema		566
puhastama		385
anuma		74
roomama		152
raamistama		15
eksponeerima		175
pidestama		1
transformeeruma		19
põimuma		119
pääsema	mööda	28
irduma		21
avarduma		52
mahenema		11
pehmuma		1
söötma	sisse	15
rabelema		153
hüsteeritsema		14
suhestama		30
teatraliseerima		8
saama	mööda	78
allutama		212
näksima		40
rääkima	üle	18
minema	lahku	190
rääkima	vastu	32
peetuma		292
kitsenema		31
aktualiseerima		18
ladestuma		44
polemiseerima		28
meenuma		1216
kontrasteeruma		15
konkretiseerima		39
pihtima		140
tõlgitsema		15
lehvitama		290
abistama		179
jooma		2337
põgenema		955
pöörlema		121
vilkuma		81
reprodutseerima		26
mängima	läbi	45
esitlema		297
struktureerima		70
funktsioneerima		144
taandama		136
illustreerima		219
nihestama		23
korralduma	ümber	1
sattuma	kokku	38
kruvima	üles	15
vastanduma		240
formeeruma		39
kompama		79
talitama		177
nullistama		3
mängima	kaasa	68
representeerima		17
kehastama		167
aktsentueerima		8
prevaleerima		57
ristuma		37
tooma	käibele	1
kõverduma		20
teravnema		37
polariseerima		8
mitmestuma		1
minetama		88
tõusma	esile	127
resümeerima		35
ütlema	ette	61
rasvuma		12
sisendama		214
kavaldama	üle	21
tõmbuma	tagasi	80
eksalteerima		11
käärima		31
vormima	ümber	3
varjundama		3
turtsatama		94
karjuma		1044
hingeldama		176
laiutama		211
silmitsema		535
muigama		884
kehitama		357
mornistuma		3
liibuma		74
kestma	edasi	73
rütmistama		4
metaforiseerima		1
pöörama	ette	12
läbistama		52
tõmbama	kaasa	67
värvima		307
painutama		74
toestama		23
põrkama	kokku	154
kohtlema		200
unistama		563
manipuleerima		73
elustama		69
grimeerima		4
distantseerima		25
taaslooma		29
puänteerima		3
kehastuma		39
balansseerima		23
nautima		836
konstitueerima		32
võtma	sisse	161
tähtsustama		135
avardama		92
viima	edasi	110
revideerima		31
eesmärgistama		26
sanktsioneerima		25
suigatama		17
varitsema		126
valama		515
kisendama		117
välkuma		68
asetama	ümber	5
noogutama		918
kanoniseerima		8
valguma	laiali	35
nihestuma		6
jäädvustama		148
summutama		119
tungima	esile	15
reastama		45
tõstma	välja	115
lahustuma		145
sõdima		229
nõudlema		1
esinema	koos	14
kanduma		228
teostuma		72
nihkuma	ära	5
ähmastuma		29
võidutsema		51
hukkuma		697
kerkima	esile	133
personifitseerima		10
transponeerima		4
olema	lahti	501
reeglistama		6
pealkirjastama		25
raamima		49
sünnitama		442
süttima		258
eritlema		14
hülgama		184
sulanduma		78
ulatuma	välja	38
elama	kaasa	179
kulmineerima		4
komponeerima		37
jätma	vahele	88
tähtsustuma		43
reflekteeruma		3
puhkema		561
teravdama		41
killunema		4
pälvima		499
voolama		574
libisema	mööda	29
elama	edasi	185
sulama		313
müüdistuma		1
röõbituma		1
elama	läbi	166
veetma	koos	20
juhatama	sisse	49
madalduma		11
astuma	üle	57
viima	välja, tagasi	1
mõjuma	kaasa	9
galopeerima		1
vältama		100
tajuma	kokku	1
põrkuma		118
ahastama		73
