verb	total
konkretiseeruma	10
kvalifitseeruma	13
fokusseeruma	3
sagenema	99
väärkohtlema	2
ähmastama	18
taipama	1353
väljama	2
kantseldama	24
hoogustuma	40
laenutama	46
natsionaliseerima	21
hoiustama	22
kapitaliseerima	2
pankrotistuma	50
ironiseerima	73
toppama	55
pumpama	124
fragmenteerima	7
integreeruma	42
killustama	33
iseloomsutama	1
baltistama	1
diagrammima	1
positsioneeruma	3
kergendama	146
teesklema	331
uuenema	54
elavnema	100
harmoniseerima	19
autasustama	65
diagnoosima	500
varuma	135
ahmama	12
korrespondeeruma	4
aproprieerima	1
elavdama	46
reinvesteerima	14
maksustama	146
vastuma	1
küpsetama	192
meisterdama	95
küsitama	45
roteerima	1
ühtlustuma	43
dekomponeerima	5
rautama	17
pistma	1156
profileerima	9
treenima	337
sirvima	114
ehmuma	177
vapustama	119
muukima	26
kirjama	20
eksitama	84
kuhjama	84
laitma	75
pidustama	1
piduma	1
pidutsema	109
küljendama	6
kirjastama	25
I-viima	3
sortima	37
käänama	68
kõndima-marssima	1
norskama-magama	1
auhindama	20
esilinastuma	53
silbitama	4
kuumama	17
kellama	7
konversatsioonilinevahetuma	1
küsivVastavvahetuma	1
hallatama	3
ise-organiseeruma	1
takteerima	2
puhverdama	5
power-olema	1
lähtestama	1
lappama	83
sorteerima	77
komprimeerima	1
pakkima	295
pikkima	33
hingitsema	29
istutama	307
eeldekodeerima	1
püsitama	3
dekodeerima	22
vastendama	1
erustama	3
fikseeruma	13
digiteerima	12
kasima	61
eskaleeruma	5
vihastama	274
vaimustama	66
startima	193
stylema	1
lohistama	159
nuusutama	176
seilama	49
ärgitama	89
sihtima	209
ümardama	57
suretama	36
justeerima	1
moderniseerima	19
jaksama	455
pidurduma	77
nipitama	2
tukkuma	151
abortima	2
mestima	12
kõrgenema	441
plokk-korralduma	1
põikama	112
küünitama	125
mõõdistama	9
liidestuma	1
unaarnema	1
värisema	536
vormistuma	4
kleepima	161
kapseldama	6
koostuma	2
kopitsema	1
kiruma	262
püsittama	2
objekt-orienteerima	1
mis-võib-halvasti-minema	1
reorganiseerima	30
planeeri-tee-kontrolli-tegutsema	1
relvastama	129
vallandama	381
sigitama	48
koolituma	1
pintseldama	11
rinnastama	5
jõuduma	16
kuvatama	1
kerima	169
tärkama	128
moduleerima	18
venitama	339
kumuleeruma	12
intensiivistuma	54
lunastama	117
inverteerima	6
dekrüpteerima	4
süüvima	61
võluma	141
pitseerima	16
postitama	20
meldima	5
uppuma	251
eestindama	13
modereerima	1
kehima	10
ristkasutama	2
laisklema	17
põruma	56
kalkuleerima	39
kruttima	50
lonkima	152
noteerima	37
parafraseerima	33
pookima	22
hooldama	115
registreeruma	66
saboteerima	7
ohjeldama	42
portima	1
algoritmima	3
itereerima	1
laostama	10
kõlksuma	11
lehkama	34
ajakohastama	14
rebima	597
selgendama	1
ilutsema	84
listima	2
toksima	71
mõlgutama	53
askeldama	112
vilksatama	168
delegeerima	70
akrediteerima	33
litsenseerima	1
installima	3
passima	233
tempereerima	6
pusima	32
legaliseerima	35
aheldama	39
haistma	84
põlistama	18
vallanduma	131
ladustama	38
kommertsialiseerima	1
ärkama	1256
ummistama	56
voorima	53
madaldama	25
sättima	402
sponsoreerima	3
kahvatuma	51
peilima	29
transleerima	8
